text;type
"Почему люди настолько толерантны к идиотизму? Это я тут посмотрел наконец заключительную часть ""Хоббита"". Там много красивых сцен, есть несколько очень удачных визуальных находок. Этот фильм, пожалуй, можно было бы разделить на много замечательных клипов для Раммштайна. Правда, сюжета во всей двухчасовой картине хватит примерно на один клип (и ""Розенрот"" по-прежнему вне конкуренции). <br><br>Но сейчас про другое. Почему боевые сцены, и которых состоит чуть менее чем весь фильм, такие тупые? Бог с ними с эльфами, они вообще почти бессмертные и, возможно, обладают особой магией. Но каким образом голые (в смысле без брони), уставшие и голодные люди (и даже дети), никогда, судя по всему, до того оружия в руках не державшие, могут сражаться с полностью вооруженными профессиональными воина, коими являются орки? Почему гномы из главной команды, которые полфильма щеголяли в доспехах, в битву отправились без них? Почему все перед схваткой красиво строятся, но потом сразу же разбегаются и не используют преимущества строевого боя? Откуда внезапно взялись забавные и очень тренированные горные козлы? Как башня, причем сложенная, как видно по кадрам ее разрушения, вовсе без раствора, может выдержать падение на бок? Ясно, что для нужд зрелищности можно все немного приукрасить, но все-таки не до такого уровня, чтобы это выглядело как какой-то невнятный сюр или мультфильм ""Фантастическая четверка"". Ну и в целом, имхо, батальные сцены сделаны хоть и местами зрелищно, но не цепляюще. Страсти в них недостает, что ли, неинтересные они.<br><br>Почему люди, которые снимают фильмы, считают нормальным отсутствие в них здравого смысла, и почему люди, которые их смотрят, тоже легко принимают такое и даже считают чем-то выдающимся? Это грустно.";-1
Я-олень!и ты тоже! Подводя итоги дня,вывод напрашивается именно такой @ Свитер С Оленями;-1
"""У меня раньше была рыбка, Фрэнсис. Я ее так любил. Но как-то раз я прихожу домой, а она исчезла. Пуф…. <br>Но такова жизнь, я полагаю. Живешь себе живешь и вдруг – пуф.. <br>Одна ученица мне подарила Фрэнсис. Одним весенним днем на моем столе появился аквариум… а в нем лишь пара сантиметров воды. На самой поверхности плавал лепесток. Потом он начал тонуть, но прежде чем коснуться дна он преобразился в махонькую рыбку. Такая красивая магия. Будто маленькое чудо. Это был прекрасный лепесток лилии. От вашей матери. В тот день, когда я пришел домой и аквариум вдруг опустел, в тот день ваша мама…"" (с) к/ф Гарри Поттер и Принц-полукровка";-1
Посоветуйте какой-нибудь хороший фильм, а то совсем скучно =(.;-1
Выбора нет;-1
"А вот это сказочка про Кузьму Скоробогатого. Помните? С одной стороны, есть в ней что-то крутое, а с другой - чему такая сказка может научить? Видимо, взяточничеству, мошенничеству и отжатию бизнеса. Если уж так поглядеть, то в рассказах Исаака Бабеля про одесского бандита Беню Крика через что угодно больше высокого-доброго-светлого. <br>Ах да, и всего в этой сказке в ходе повествования погиб 1681 персонаж, причем все стали жертвами обмана и предумышленного убийства. <br><br>Жил-проживал Кузьма один-одинешенек в темном лесу. Ни скинуть, ни надеть у него ничего не было, а постлать — и не заводил.<br>Вот поставил он капкан. Утром пошел посмотреть — попала лисица.<br>—?Ну, лисицу теперь продам, деньги возьму, на то и жениться буду.<br>Лисица ему говорит:<br>—?Кузьма, отпусти меня, я тебе великое добро доспею, сделаю тебя Кузьмой Скоробогатым, только ты изжарь мне одну курочку с масличком — пожирнее.<br>Кузьма согласился. Изжарил курочку. Лиса наелась мясца, побежала в царские заповедные луга и стала на тех заповедных лугах кататься.<br>—?У-у-у! У царя была в гостях, чего хотела — пила и ела, завтра звали, опять пойду.<br>Бежит волк и спрашивает:<br>—?Чего, кума, катаешься, лаешь?<br>—?Как мне не кататься, не лаять! У царя была в гостях, чего хотела — пила и ела, завтра звали, опять пойду.<br>Волк и просит:<br>—?Лисанька, не сведешь ли меня к царю на обед?<br>—?Станет царь из-за одного тебя беспокоиться. Собирайтесь вы — сорок волков, тогда поведу вас в гости к царю.<br>Волк стал по лесу бегать, волков собирать. Собрал сорок волков, привел их к лисице, и лиса повела их к царю.<br>Пришли к царю, лиса забежала вперед и говорит:<br>—?Царь, добрый человек Кузьма Скоробогатый кланяется тебе сорока волками.<br>Царь обрадовался, приказал всех волков загнать в ограду, запереть накрепко и сам думает: «Богатый человек Кузьма!»<br>А лисица побежала к Кузьме. Велела изжарить еще одну курочку с масличком — пожирнее, пообедала сытно и пустилась на царские заповедные луга.<br>Катается, валяется по заповедным лугам. Бежит медведь мимо, увидал лису и говорит:<br>—?Эк ведь, проклятая хвостомеля, как обтрескалась!<br>А лиса ему:<br>—?У-у-у! У царя была в гостях, чего хотела — пила и ела, завтра звали, опять пойду.<br>Медведь стал просить:<br>—?Лиса, не сведешь ли меня к царю на обед?<br>—?Для одного тебя царь и беспокоиться не захочет. Собери сорок черных медведей — поведу вас в гости к царю.<br>Медведь побежал в дуброву, собрал сорок черных медведей, привел их к лисе, и лисица привела их к царю. Сама забежала вперед и говорит:<br>—?Царь, добрый человек Кузьма Скоробогатый кланяется тебе сорока медведями.<br>Царь весьма тому обрадовался, приказал загнать медведей и запереть накрепко. Сам думает: «Вот какой богатый человек Кузьма!»<br>А лисица опять прибежала к Кузьме. И велела зажарить курочку с петушком, с масличком — пожирнее. Скушала на здоровье — и давай кататься в царских заповедных лесах.<br>Бежит мимо соболь с куницею:<br>—?Эк, лукавая лиса, где так жирно накушалась?<br>—?У-у-у! У царя была в гостях, чего хотела — пила и ела, завтра звали, опять пойду.<br>Соболь и куница стала упрашивать лису:<br>—?Кумушка, своди нас к царю. Мы хоть посмотрим, как пируют.<br>Лиса им говорит:<br>—?Соберите сорок сороков соболей да куниц — поведу вас к царю.<br>Согнали соболь и куница сорок сороков соболей и куниц. Лиса привела их к царю, сама забежала вперед:<br>—?Царь, добрый человек Кузьма Скоробогатый кланяется тебе сорока сороками соболей да куниц.<br>Царь не может надивиться богатству Кузьмы Скоробогатого. Велел и этих зверей загнать, запереть накрепко.<br>«Вот, — думает, — беда, какой богач Кузьма!»<br>На другой день лисица опять прибегает к царю:<br>—?Царь, добрый человек Кузьма Скоробогатый приказал тебе кланяться и просит ведро с обручами — мерять серебряные деньги. Свои-то ведра у него золотом заняты.<br>Царь без отказу дал лисе ведро с обручами. Лиса прибежала к Кузьме и велела мерять ведрами песок, чтобы высветлить у ведра бочок.<br>Как высветлило у ведра бочок, лиса заткнула за обруча сколько-то мелких денежек и понесла назад царю. Принесла и стала сватать у него прекрасную царевну за Кузьму Скоробогатого.<br>Царь видит — денег много у Кузьмы: за обруча западали, он и не заметил. Царь не отказывает, велит Кузьме изготовиться и приезжать.<br>Поехал Кузьма к царю. А лисица вперед забежала и подговорила работников подпилить мостик.<br>Кузьма только что въехал на мостик — он вместе с ним и рушился в воду.<br>Лисица стала кричать:<br>—?Ахти! пропал Кузьма Скоробогатый!<br>Царь услыхал и тотчас послал людей перехватить Кузьму. Вот они перехватили его, а лиса кричит:<br>—?Ахти! Надо Кузьме одёжу дать — какую получше.<br>Царь дал Кузьме свою одёжу праздничную.<br>Приехал Кузьма к царю. А у царя ни пива варить, ни вина курить — все готово.<br>Обвенчался Кузьма с царевной и живет у царя неделю, живет другую.<br>—?Ну, — говорит царь, — поедем теперь, любезный зять, к тебе в гости.<br>Кузьме делать нечего, надо собираться. Запрягли лошадей и поехали. А лисица отправилась вперед. Видит — пастухи стерегут стадо овец, она их спрашивает:<br>—?Пастухи, пастухи! Чье стадо пасете?<br>—?Змея Горыныча.<br>—?Сказывайте, что это стадо Кузьмы Скоробогатого, а то едут царь Огонь и царица Молоньица: коли не скажете им, что это стадо Кузьмы Скоробогатого, они вас всех и с овцами-то сожгут и спалят!<br>Пастухи видят, что дело неминучее, и обещали сказывать про Кузьму Скоробогатого, как лиса научила.<br>А лиса пустилась вперед. Видит - другие пастухи стерегут коров.<br>—?Пастухи, пастухи! Чье стадо пасете?<br>—?Змея Горыныча.<br>—?Сказывайте, что стадо это Кузьмы Скоробогатого, а то едут царь Огонь и царица Молоньица: они вас всех с коровами сожгут и спалят, коли станете поминать Змея Горыныча!<br>Пастухи согласились. Лиса опять побежала вперед. Добегает до конского табуна Змея Горыныча, велит пастухам сказывать, что этот табун Кузьмы Скоробогатого.<br>—?А то едут царь Огонь да царица Молоньица: они всех вас с конями сожгут и спалят!<br>И эти пастухи согласились.<br>Лиса бежит вперед. Прибегает к Змею Горынычу прямо в белокаменные палаты:<br>—?Здравствуй, Змей Горыныч!<br>—?Что скажешь, лисанька?<br>—?Ну, Змей Горыныч, теперь тебе надо скоро-наскоро прятаться. Едет грозный царь Огонь да царица Молоньица, все жгут и палят. Стада твои с пастухами прижгли и спалили. Я не стала мешкать — пустилась к тебе сказать, что сама чуть от дыма не задохлась.<br>Змей Горыныч закручинился:<br>—?Ах, лисанька, куда же я подеваюсь?<br>—?Есть в твоем саду старый заповедный дуб, середина вся повыгнила; беги, схоронись в дупле, пока царь Огонь с царицей Молоньицей мимо не проедут.<br>Змей Горыныч со страху спрятался в это дупло, как лиса научила.<br>Кузьма Скоробогатый едет себе да едет с царем да с женой-царевной. Доезжают они до овечьего стада. Царевна спрашивает:<br>—?Пастушки, чье стадо пасете?<br>—?Кузьмы Скоробогатого.<br>Царь тому и рад:<br>—?Ну, любезный зять, много же у тебя овец!<br>Едут дальше, доезжают до коровьего стада.<br>—?Пастушки, чье стадо пасете?<br>—?Кузьмы Скоробогатого.<br>—?Ну, любезный зять, много же у тебя коров!<br>Едут они дальше; пастухи лошадей пасут.<br>—?Чей табун?<br>—?Кузьмы Скоробогатого.<br>—?Ну, любезный зятюшка, много же у тебя коней!<br>Вот приехали ко дворцу Змея Горыныча.<br>Лиса встречает гостей, низко кланяется, вводит их в палаты белокаменные, сажает их за столы дубовые, за скатерти браные...<br>Стали они пировать, пить-есть и веселиться. Пируют день, пируют другой, пируют они неделю.<br>Лиса и говорит Кузьме:<br>—?Ну, Кузьма! Перестань гулять — надо дело исправлять. Ступай с царем в зеленый сад; в том саду стоит старый дуб, а в том дубе сидит Змей Горыныч, он от вас спрятался. Расстреляй дуб на мелкие части.<br>Кузьма пошел с царем в зеленый сад. Увидели они старый заповедный дуб, и стали они в тот дуб стрелять. Тут Змею Горынычу и смерть пришла.<br>Кузьма Скоробогатый стал жить-поживать с женой-царевной в палатах белокаменных и лисаньку всякий день угощать курочкой.<br><br>В обработке А.Н. Толстого.";-1
С днем рождения, Ира!!! ????????<br>#Friday #party  @ Прожектор;1
Попячтесь!!!.........));1
Когда приспичило тусить!??????спасибо @eka_studio и Екатерина Буракова за кудри!оооочень себе нравлюсь#нарциссизмдиагнозинстаграмера#люблюсебянимагу#beauty;1
#love#сднемрождения#ялюблюсвоюработу#??????;1
бесконечно долго смеяться, бессонные ночи, пешком-через-весь-город, толпа друзей, цветы, шампанское, любимые подружки, фотографироваться, любить, улыбаться, дарить подарки, последние сеансы в кино.... и еще много всего. когда же наступит такая весна?;1
Всех с хелловином! И всем весело его отметить)).;1
"То, чего мы все ждали. Еще одна социальная сеть! Впрочем, на удивление прикольная. Здесь посты называются ""моменты"" и они собраны в ""истории"", и у каждого человека таких историй может быть много. А еще, вроде бы, можно создавать совместные истории. Истории, возможность делать большое их количество (полиисторичность, вухуу!) и писать совместные истории мне очень откликается, потому это похоже на то, о чем мы говорим в нарративной практике. =) <br><br>В общем, мне действительно это нравится, и я буду рад, если этот проект будет жить, и люди будут им пользоваться. И сам буду пользоваться)";1
????I m waiting for you @ Счастье http://instagram.com/p/uDT5swB3LK/;1
#ялюблюсвоюработу#lunch#мансарда  @ Мансарда http://instagram.com/p/pqyHXNh3FA/;1
"это было шикарно ;)) спасибо )))";1
Поздравляю всех с наступлением весны! Ура))?? <br>И напоминаю, что 8 марта я устраиваю розыгрыш бесплатной фотосессии для НЕЕ.????<br><br> Условия розыгрыша очень просты:<br>1. Скопировать Ваш отзыв из моей группы, но без номера!!: https://vk.com/topic-15149490_22361676?offset=220 (если до сих пор не оставили, то сейчас самое время)<br>2. Оставить скопированный отзыв на сайте Yell.ru с 1 фотографией: <br>http://www.yell.ru/spb/com/photograph-marina-miro_11875488/<br>3. Дождаться 8 марта 21:00, когда я разыграю 1 фотосессию с помощью генератора случайных чисел.<br><br> О подарочном сертификате??:<br>— Фотопрогулка или студийная фотосессия на одного человека<br>— Сертификат неименной, но без передачи 3-м лицам<br>— Сертификат действителен 6 месяцев<br> Розыгрыш будет проводится только среди отзывов размещенных на сайте Yell.ru и состоится в любом случае (при любом количестве отзывов) , так что поспешите, шансы выиграть очень реальные!;1
Это настолько шикарный момент, что я готов изменить предыдущему, жениться на этом и нарожать множество таких же маленьких моментиков (с) :).;1
Всем привет из Калининграда :) <br>Тут прохдадно, но все равно весна ??????<br>#konigsberg #travel #holiday #innertourism #Russia  @ Kaliningrad;1
Рабочий день тоже должен быть красивым!);1
"Привет, друзья! Мы создаем новую штуку - Медленные свидания! <br><br>В отличие от известных быстрых свиданий, где все происходит сумбурно и поверхностно, в Медленных свиданиях акцент делается на взаимопонимание. <br><br>Медленные свидания нужны для того, чтобы встретиться с новыми людьми в располагающей обстановке, по-настоящему услышать и увидеть друг друга, найти общий язык и прикоснуться к миру другого человека. А кто-то, может быть, обнаружит друг в друге родственные души.?<br><br>Чтобы помочь собеседникам узнать друг друга, мы разработали серию опорных вопросов, которые помогут поговорить о важном и интересном и преодолеть неловкость, если вдруг таковая возникнет.<br><br>Часть вопросов индивидуальны для каждой пары. Это помогает достичь такого уровня общения, какой не всегда получается даже с близкими друзьями, и действительно узнать друг друга не только рационально, но и эмоционально. <br><br>Даже если на первых встречах вы не найдете никого, кто понравится вам как партнер для романтических отношений, время не будет потрачено зря. #МедленныеCвидания - яркое приключение и необычный опыт. А ещё в конце будет вечеринка - отличный способ завершить выходные.??<br><br>== Что, когда ==<br><br>Одна группа состоит из 8 человек; если наберется много желающих, будет много групп. Поэтому, пожалуйста, рассказывайте друзьям и делайте репост!)<br><br>Первая встреча запланирована на 16 октября (воскресенье), в 18.00. Если желающих будет много и понадобятся другие встречи, время выберем в соответствии с пожеланиями желающих=) <br><br>== Программа встречи ==<br><br>Общая продолжительность: ~3 часа. <br>Количество Медленных свиданий: 4.<br>Продолжительность одного свидания: 30 мин.<br>В конце: вечеринка-сюрприз.<br><br>== Как принять участие ==<br><br>Так как это делается впервые - стоимость минимальная, она покрывает только аренду: 500 рублей. Такого еще не было, очень интересно, что получится. Я надеюсь, что-то классное! <br><br>Записывайтесь по ссылке: https://goo.gl/forms/gDQxoL5HEE2s8oru2<br><br>Пожалуйста, репост! ??";1
Вот так мы поздравляли наших любимых мужчин!!;1
"""Любовь - это когда мама даёт папе лучший кусочек курочки"". (Илэйн - 5 лет).";1
Француза Саган!как же тонко женщины пишут о любви.Когда есть желание...умереть от счастья;1
Спасибо этому году сбывшихся мечтаний: свадьба, квартира, признание, GAGA! :) Желаю всем: мечтайте о БОЛЬШЕМ, требуйте только КАЧЕСТВЕННОГО И НАСТОЯЩЕГО, чтобы это ни было! Зажигайте и думайте, что всё для вас! Не обращайте внимания на то, что говорят! С праздником!;1
Мое самое весёлое и незабываемое танцевальное знакомство:))?????? @ Тангомания;1
Требую веселых выходных! :);1
"ПОРТРЕТ В ИНТЕРЬЕРЕ.<br>Наконец, свершилось! Эта съемка планировалась без малого три года.. <br>Дело в том, что застать хозяина дома в летне-гастрольный период бывает очень не просто. А ещё нам железно надо было поймать солнце, и то, только лишь отраженное от противоположной стены дома, в считанные часы, а сколько у нас солнечных дней в Питере? Вот то то же!<br> Но иных чудесных стечений обстоятельств нужно просто заслужить. <br>Здесь я придерживаюсь замечательной теории Макса Фрая ""Все будет, когда-нибудь, рано или поздно, так или иначе"" <br>И вот, я в гостях у Володи Нахимова. <br>Даже и не знаю, как вам его представить и нужно ли? Это личность весьма известная в Питере, возможно, вы даже встречались с ним и его куклами где-нибудь в Италии или у нас в Летнем саду. <br>Это человек единый во многих ипостасях - странствующий философ, свободный художник, бременский музыкант и немного Папа Карло ? Как-то примерно так)) <br>А его дом - однозначно продолжение его самого, а может даже больше.. Там происходят настоящие метаморфозы, и стоит только отвернутся, как Офелия-Жозефина начинает строить глазки, а Антонио непременно затевает какую-нибудь каверзу.<br>Все мы верили в детстве, что когда спим, куклы оживают, и вот тогда то и происходит все самое интересное.<br>Впрочем, почему только в детстве? ?? ??";1
Весна :) наконец-то;1
"""Любовь - это когда ты говоришь парню, что тебе нравится его рубашка, и тогда он носит её каждый день"". (Ноэль - 7 лет).";1
Счастье.;1
Отверженные - это просто Чудо! Ничего лучше не видел уже очень давно, и вряд ли скоро увижу..;1
Всем спасибо! Это чудо у меня!;1
Как же долго я искала эту вещь!аж за душу берет!????;1
Смело могу заявить - этот корпоратив был гораздо веселее, чем прошлогодний)) #EY #eyrussia #spacemoscow #party #girls;1
Вообще я не очень большой фанат медленных и меланхоличных композиций, но иногда как-то прям очень заходят...<br>Вот эта новая песня Черного Обелиска..с ней я ощущаю какое-то особенное творческое родство...думаю, если бы я не придумал концовку Ангела до прослушивания этой песни, то она бы точно вдохновила меня));1
Keane... KEANE!!! Это было потрясающе!!!;1
"Первый в Германии скоростной поезд появился в 1933 году. Он имел забавное для современного человека название ""Flying Hamburger"" и был для своего времени весьма хорош. Его максимальная скорость достигала 160 км/ч, а средняя скорость на маршруте Берлин-Гамбург, который он проходил чуть более чем за два часа, составляла 124 км/ч. А еще у него был весьма прикольный вид=)";1
Милее не придумаешь!) Автор - молодец!;1
Это гениально!!!!;1
круто просыпаться с хорошим настроением и улыбкой! :);1
Ведьмак 3 пройден, и теперь с полной уверенностью можно сказать, что это было совершенно потрясающе. Разработчики решили объять необъятное..и смогли) Она великолепно выглядит, крайне атмосферно звучит, она удивляет, заставляет смеяться в голос и доводит до слез, она постоянно обманывает поворотами сюжета, даже в самых мелких заданиях, она поражает масштабом и количеством...всего, при том практически никогда не опускаясь до рутины и не переставая быть содержательной. <br>Сейчас, после прекрасного трогательного эпилога ощущается пустота и грусть, как во время прощания с хорошей книгой...спасибо разработчикам за такие потрясающие эмоции,  за такую невероятную (и я даже не представляю, насколько чудовищно сложную) работу!)<br><br>П.С,Только вот не знаю, насколько все будет хорошо для не читавших книги...хотя, судя по отзывам и всяким мнениям, всем нравится и так));1
Очень сильно!несмотря на то,что попсу не люблю,этот клип нравится!он дорогой и очень чувственный;1
Кажется, это называется счастьем :).;1
